[12 10:55:22] TOTAL/Train 61/56851, lr:[9.98944609593499e-06], loss0-0.658368, loss1-0.467996, loss2-0.514305, loss3-0.937678
[12 10:55:24] TOTAL/Train 62/56851, lr:[9.989270197533906e-06], loss0-0.685088, loss1-0.477111, loss2-0.509909, loss3-0.287754
[12 10:55:25] TOTAL/Train 63/56851, lr:[9.989094299132822e-06], loss0-0.713637, loss1-0.405138, loss2-0.663680, loss3-0.776619
[12 10:55:26] TOTAL/Train 64/56851, lr:[9.988918400731739e-06], loss0-0.673614, loss1-0.459983, loss2-0.397677, loss3-0.731479
[12 10:55:27] TOTAL/Train 65/56851, lr:[9.988742502330655e-06], loss0-0.681458, loss1-0.461896, loss2-0.592831, loss3-0.666056
[12 10:55:28] TOTAL/Train 66/56851, lr:[9.988566603929572e-06], loss0-0.669673, loss1-0.568354, loss2-0.583926, loss3-0.832186
[12 10:55:29] TOTAL/Train 67/56851, lr:[9.988390705528487e-06], loss0-0.616247, loss1-0.485406, loss2-0.433611, loss3-0.811581
[12 10:55:30] TOTAL/Train 68/56851, lr:[9.988214807127404e-06], loss0-0.668148, loss1-0.530190, loss2-1.027913, loss3-0.394854
[12 10:55:31] TOTAL/Train 69/56851, lr:[9.988038908726321e-06], loss0-0.718856, loss1-0.499520, loss2-0.500635, loss3-0.818646
[12 10:55:32] TOTAL/Train 70/56851, lr:[9.987863010325237e-06], loss0-0.679660, loss1-0.467768, loss2-0.591132, loss3-0.325459
[12 10:55:33] TOTAL/Train 71/56851, lr:[9.987687111924154e-06], loss0-0.656436, loss1-0.584894, loss2-0.379115, loss3-1.203399
[12 10:55:34] TOTAL/Train 72/56851, lr:[9.98751121352307e-06], loss0-0.645228, loss1-0.481304, loss2-0.651998, loss3-0.755798
[12 10:55:35] TOTAL/Train 73/56851, lr:[9.987335315121987e-06], loss0-0.624150, loss1-0.418183, loss2-1.013405, loss3-0.381702
[12 10:55:36] TOTAL/Train 74/56851, lr:[9.987159416720902e-06], loss0-0.651677, loss1-0.460212, loss2-0.808677, loss3-0.810571
[12 10:55:37] TOTAL/Train 75/56851, lr:[9.98698351831982e-06], loss0-0.627722, loss1-0.466320, loss2-0.727214, loss3-0.348945
[12 10:55:38] TOTAL/Train 76/56851, lr:[9.986807619918736e-06], loss0-0.666411, loss1-0.515505, loss2-0.572395, loss3-0.315721
[12 10:55:39] TOTAL/Train 77/56851, lr:[9.986631721517652e-06], loss0-0.602314, loss1-0.382119, loss2-0.786369, loss3-0.605068
[12 10:55:40] TOTAL/Train 78/56851, lr:[9.986455823116569e-06], loss0-0.633258, loss1-0.470062, loss2-0.628636, loss3-0.265361
[12 10:55:41] TOTAL/Train 79/56851, lr:[9.986279924715485e-06], loss0-0.641591, loss1-0.481669, loss2-0.595858, loss3-0.259322
[12 10:55:42] TOTAL/Train 80/56851, lr:[9.986104026314402e-06], loss0-0.655511, loss1-0.464939, loss2-0.575784, loss3-0.824834
[12 10:55:43] TOTAL/Train 81/56851, lr:[9.985928127913319e-06], loss0-0.630156, loss1-0.423072, loss2-0.776572, loss3-0.431418
[12 10:55:44] TOTAL/Train 82/56851, lr:[9.985752229512234e-06], loss0-0.603534, loss1-0.429243, loss2-0.708745, loss3-0.626697
[12 10:55:46] TOTAL/Train 83/56851, lr:[9.985576331111151e-06], loss0-0.568927, loss1-0.435867, loss2-0.518936, loss3-0.678493
[12 10:55:47] TOTAL/Train 84/56851, lr:[9.985400432710067e-06], loss0-0.606036, loss1-0.534362, loss2-0.584659, loss3-0.743475
[12 10:55:48] TOTAL/Train 85/56851, lr:[9.985224534308984e-06], loss0-0.608192, loss1-0.436973, loss2-0.646908, loss3-0.268757
[12 10:55:49] TOTAL/Train 86/56851, lr:[9.9850486359079e-06], loss0-0.709162, loss1-0.458112, loss2-0.620954, loss3-1.064891
[12 10:55:50] TOTAL/Train 87/56851, lr:[9.984872737506817e-06], loss0-0.671330, loss1-0.435505, loss2-1.009031, loss3-0.823663
[12 10:55:51] TOTAL/Train 88/56851, lr:[9.984696839105734e-06], loss0-0.615366, loss1-0.443759, loss2-0.637763, loss3-0.382530
[12 10:55:52] TOTAL/Train 89/56851, lr:[9.98452094070465e-06], loss0-0.692612, loss1-0.423423, loss2-0.429278, loss3-0.576253
[12 10:55:53] TOTAL/Train 90/56851, lr:[9.984345042303566e-06], loss0-0.620295, loss1-0.460814, loss2-0.613825, loss3-0.306145
[12 10:55:54] TOTAL/Train 91/56851, lr:[9.984169143902482e-06], loss0-0.602938, loss1-0.408388, loss2-0.520543, loss3-0.878730
[12 10:55:55] TOTAL/Train 92/56851, lr:[9.983993245501399e-06], loss0-0.591963, loss1-0.455947, loss2-0.917789, loss3-0.331208
[12 10:55:56] TOTAL/Train 93/56851, lr:[9.983817347100314e-06], loss0-0.642321, loss1-0.366386, loss2-0.569219, loss3-0.347320
[12 10:55:57] TOTAL/Train 94/56851, lr:[9.983641448699232e-06], loss0-0.642237, loss1-0.430082, loss2-0.574580, loss3-0.798063
[12 10:55:58] TOTAL/Train 95/56851, lr:[9.983465550298149e-06], loss0-0.640202, loss1-0.418646, loss2-0.941362, loss3-0.701886
[12 10:55:59] TOTAL/Train 96/56851, lr:[9.983289651897064e-06], loss0-0.622694, loss1-0.439371, loss2-0.716667, loss3-1.321560
[12 10:56:00] TOTAL/Train 97/56851, lr:[9.983113753495981e-06], loss0-0.628245, loss1-0.470221, loss2-0.506025, loss3-0.835697
[12 10:56:01] TOTAL/Train 98/56851, lr:[9.982937855094899e-06], loss0-0.645422, loss1-0.474212, loss2-0.442458, loss3-0.355257
[12 10:56:02] TOTAL/Train 99/56851, lr:[9.982761956693816e-06], loss0-0.492562, loss1-0.460698, loss2-0.486168, loss3-0.451482
[12 10:56:03] TOTAL/Train 100/56851, lr:[9.982586058292731e-06], loss0-0.669598, loss1-0.508653, loss2-0.657274, loss3-0.770617
[12 10:56:04] TOTAL/Train 101/56851, lr:[9.982410159891648e-06], loss0-0.611041, loss1-0.468903, loss2-1.056183, loss3-0.691504
[12 10:56:05] TOTAL/Train 102/56851, lr:[9.982234261490564e-06], loss0-0.617960, loss1-0.407839, loss2-0.434921, loss3-0.324037
[12 10:56:06] TOTAL/Train 103/56851, lr:[9.982058363089481e-06], loss0-0.682589, loss1-0.459176, loss2-0.443724, loss3-0.782188
[12 10:56:08] TOTAL/Train 104/56851, lr:[9.981882464688396e-06], loss0-0.676462, loss1-0.398189, loss2-0.872611, loss3-0.721597
[12 10:56:09] TOTAL/Train 105/56851, lr:[9.981706566287314e-06], loss0-0.630940, loss1-0.493747, loss2-0.413076, loss3-0.381771
[12 10:56:10] TOTAL/Train 106/56851, lr:[9.98153066788623e-06], loss0-0.662908, loss1-0.396093, loss2-0.530496, loss3-0.396191
[12 10:56:11] TOTAL/Train 107/56851, lr:[9.981354769485146e-06], loss0-0.649614, loss1-0.446348, loss2-0.913572, loss3-1.138510
[12 10:56:12] TOTAL/Train 108/56851, lr:[9.981178871084063e-06], loss0-0.658248, loss1-0.361237, loss2-0.881463, loss3-0.430820
[12 10:56:13] TOTAL/Train 109/56851, lr:[9.981002972682979e-06], loss0-0.628841, loss1-0.461901, loss2-0.594666, loss3-0.394734
[12 10:56:14] TOTAL/Train 110/56851, lr:[9.980827074281896e-06], loss0-0.673033, loss1-0.494428, loss2-0.671631, loss3-0.685872
[12 10:56:15] TOTAL/Train 111/56851, lr:[9.980651175880813e-06], loss0-0.584895, loss1-0.472412, loss2-0.388152, loss3-0.982166
[12 10:56:16] TOTAL/Train 112/56851, lr:[9.980475277479729e-06], loss0-0.563428, loss1-0.346746, loss2-0.377047, loss3-0.875823
[12 10:56:17] TOTAL/Train 113/56851, lr:[9.980299379078646e-06], loss0-0.636739, loss1-0.380723, loss2-0.997331, loss3-0.642656
[12 10:56:18] TOTAL/Train 114/56851, lr:[9.980123480677561e-06], loss0-0.674588, loss1-0.384497, loss2-0.400074, loss3-0.687136
[12 10:56:19] TOTAL/Train 115/56851, lr:[9.979947582276478e-06], loss0-0.546788, loss1-0.385701, loss2-0.490907, loss3-0.389782
[12 10:56:20] TOTAL/Train 116/56851, lr:[9.979771683875394e-06], loss0-0.582155, loss1-0.389923, loss2-1.067401, loss3-0.300499
[12 10:56:21] TOTAL/Train 117/56851, lr:[9.979595785474311e-06], loss0-0.618217, loss1-0.497099, loss2-0.786337, loss3-0.684429
[12 10:56:22] TOTAL/Train 118/56851, lr:[9.979419887073228e-06], loss0-0.643301, loss1-0.454704, loss2-0.411981, loss3-0.437408
[12 10:56:23] TOTAL/Train 119/56851, lr:[9.979243988672144e-06], loss0-0.567100, loss1-0.398989, loss2-0.797412, loss3-0.754138
[12 10:56:24] TOTAL/Train 120/56851, lr:[9.97906809027106e-06], loss0-0.564907, loss1-0.431293, loss2-0.849274, loss3-0.361885
[12 10:56:25] TOTAL/Train 121/56851, lr:[9.978892191869976e-06], loss0-0.619161, loss1-0.415761, loss2-0.871330, loss3-0.741627
[12 10:56:26] TOTAL/Train 122/56851, lr:[9.978716293468893e-06], loss0-0.606224, loss1-0.445777, loss2-0.360211, loss3-0.454295
[12 10:56:27] TOTAL/Train 123/56851, lr:[9.978540395067809e-06], loss0-0.591906, loss1-0.441747, loss2-1.027998, loss3-0.690309
[12 10:56:29] TOTAL/Train 124/56851, lr:[9.978364496666726e-06], loss0-0.591315, loss1-0.406031, loss2-0.664205, loss3-1.140255
[12 10:56:30] TOTAL/Train 125/56851, lr:[9.978188598265643e-06], loss0-0.594933, loss1-0.439496, loss2-0.778649, loss3-0.684579
[12 10:56:31] TOTAL/Train 126/56851, lr:[9.978012699864559e-06], loss0-0.580420, loss1-0.465265, loss2-0.491745, loss3-0.381985
[12 10:56:32] TOTAL/Train 127/56851, lr:[9.977836801463476e-06], loss0-0.530532, loss1-0.438318, loss2-0.803303, loss3-0.956033
[12 10:56:33] TOTAL/Train 128/56851, lr:[9.977660903062391e-06], loss0-0.553384, loss1-0.408892, loss2-0.703015, loss3-0.367916
[12 10:56:34] TOTAL/Train 129/56851, lr:[9.977485004661308e-06], loss0-0.585776, loss1-0.413377, loss2-0.934121, loss3-0.856881
[12 10:56:35] TOTAL/Train 130/56851, lr:[9.977309106260224e-06], loss0-0.651430, loss1-0.410060, loss2-0.551042, loss3-0.750690
[12 10:56:36] TOTAL/Train 131/56851, lr:[9.977133207859141e-06], loss0-0.609948, loss1-0.467971, loss2-0.640122, loss3-0.641650
[12 10:56:37] TOTAL/Train 132/56851, lr:[9.976957309458058e-06], loss0-0.605408, loss1-0.359570, loss2-0.910323, loss3-0.472450
[12 10:56:38] TOTAL/Train 133/56851, lr:[9.976781411056973e-06], loss0-0.585234, loss1-0.427374, loss2-0.623507, loss3-0.789426
[12 10:56:39] TOTAL/Train 134/56851, lr:[9.97660551265589e-06], loss0-0.570660, loss1-0.371610, loss2-0.649510, loss3-0.895954
[12 10:56:40] TOTAL/Train 135/56851, lr:[9.976429614254806e-06], loss0-0.575679, loss1-0.429469, loss2-0.707958, loss3-0.647854
[12 10:56:41] TOTAL/Train 136/56851, lr:[9.976253715853723e-06], loss0-0.561566, loss1-0.439609, loss2-0.758996, loss3-1.036284
[12 10:56:42] TOTAL/Train 137/56851, lr:[9.97607781745264e-06], loss0-0.557015, loss1-0.477627, loss2-0.617712, loss3-0.629545
[12 10:56:43] TOTAL/Train 138/56851, lr:[9.975901919051558e-06], loss0-0.541802, loss1-0.389211, loss2-0.917422, loss3-0.427159
[12 10:56:44] TOTAL/Train 139/56851, lr:[9.975726020650473e-06], loss0-0.550379, loss1-0.426398, loss2-0.368874, loss3-0.300669
[12 10:56:45] TOTAL/Train 140/56851, lr:[9.97555012224939e-06], loss0-0.576187, loss1-0.414288, loss2-0.628819, loss3-0.539213
[12 10:56:46] TOTAL/Train 141/56851, lr:[9.975374223848306e-06], loss0-0.553497, loss1-0.427904, loss2-0.758722, loss3-0.698607
[12 10:56:47] TOTAL/Train 142/56851, lr:[9.975198325447223e-06], loss0-0.540023, loss1-0.426670, loss2-0.442506, loss3-0.979285
[12 10:56:48] TOTAL/Train 143/56851, lr:[9.97502242704614e-06], loss0-0.603659, loss1-0.503153, loss2-0.747824, loss3-0.318661
[12 10:56:49] TOTAL/Train 144/56851, lr:[9.974846528645055e-06], loss0-0.497197, loss1-0.416265, loss2-0.545312, loss3-0.698873
[12 10:56:51] TOTAL/Train 145/56851, lr:[9.974670630243973e-06], loss0-0.540145, loss1-0.386804, loss2-0.653848, loss3-0.703167
[12 10:56:52] TOTAL/Train 146/56851, lr:[9.974494731842888e-06], loss0-0.428317, loss1-0.381564, loss2-0.419875, loss3-0.237067
[12 10:56:53] TOTAL/Train 147/56851, lr:[9.974318833441805e-06], loss0-0.514781, loss1-0.431984, loss2-0.474661, loss3-0.325154
[12 10:56:54] TOTAL/Train 148/56851, lr:[9.974142935040722e-06], loss0-0.407339, loss1-0.379033, loss2-0.515247, loss3-0.548287
[12 10:56:55] TOTAL/Train 149/56851, lr:[9.973967036639638e-06], loss0-0.511208, loss1-0.424892, loss2-0.561948, loss3-0.613277
[12 10:56:56] TOTAL/Train 150/56851, lr:[9.973791138238555e-06], loss0-0.581073, loss1-0.453046, loss2-0.837443, loss3-0.932128
[12 10:56:57] TOTAL/Train 151/56851, lr:[9.97361523983747e-06], loss0-0.473789, loss1-0.479915, loss2-0.694197, loss3-0.368108
[12 10:56:58] TOTAL/Train 152/56851, lr:[9.973439341436388e-06], loss0-0.583804, loss1-0.552150, loss2-0.435811, loss3-0.374931
[12 10:56:59] TOTAL/Train 153/56851, lr:[9.973263443035303e-06], loss0-0.498938, loss1-0.410129, loss2-0.599968, loss3-0.796485
[12 10:57:00] TOTAL/Train 154/56851, lr:[9.97308754463422e-06], loss0-0.490872, loss1-0.380454, loss2-0.487854, loss3-0.984396
[12 10:57:01] TOTAL/Train 155/56851, lr:[9.972911646233137e-06], loss0-0.486113, loss1-0.373385, loss2-0.587409, loss3-0.422330
[12 10:57:02] TOTAL/Train 156/56851, lr:[9.972735747832053e-06], loss0-0.464689, loss1-0.439938, loss2-0.634748, loss3-0.388507
[12 10:57:03] TOTAL/Train 157/56851, lr:[9.97255984943097e-06], loss0-0.466744, loss1-0.444979, loss2-0.588899, loss3-0.677095
[12 10:57:04] TOTAL/Train 158/56851, lr:[9.972383951029885e-06], loss0-0.477023, loss1-0.432429, loss2-0.588123, loss3-0.650164
[12 10:57:05] TOTAL/Train 159/56851, lr:[9.972208052628803e-06], loss0-0.453230, loss1-0.351375, loss2-0.736170, loss3-0.423717
[12 10:57:06] TOTAL/Train 160/56851, lr:[9.972032154227718e-06], loss0-0.451445, loss1-0.476674, loss2-0.767945, loss3-0.446145
[12 10:57:07] TOTAL/Train 161/56851, lr:[9.971856255826635e-06], loss0-0.400436, loss1-0.388021, loss2-0.696223, loss3-0.654904
[12 10:57:08] TOTAL/Train 162/56851, lr:[9.971680357425552e-06], loss0-0.420547, loss1-0.403097, loss2-0.740999, loss3-0.575974
[12 10:57:09] TOTAL/Train 163/56851, lr:[9.971504459024468e-06], loss0-0.513907, loss1-0.405510, loss2-0.431973, loss3-0.777570
[12 10:57:10] TOTAL/Train 164/56851, lr:[9.971328560623385e-06], loss0-0.476806, loss1-0.392426, loss2-0.503802, loss3-0.759880
[12 10:57:11] TOTAL/Train 165/56851, lr:[9.9711526622223e-06], loss0-0.487264, loss1-0.367898, loss2-0.583816, loss3-0.369180
[12 10:57:13] TOTAL/Train 166/56851, lr:[9.970976763821218e-06], loss0-0.354715, loss1-0.370028, loss2-0.407244, loss3-0.478133
[12 10:57:14] TOTAL/Train 167/56851, lr:[9.970800865420135e-06], loss0-0.368160, loss1-0.414040, loss2-0.948484, loss3-0.774687
[12 10:57:15] TOTAL/Train 168/56851, lr:[9.97062496701905e-06], loss0-0.427377, loss1-0.400729, loss2-0.745152, loss3-0.902944
